year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2007,12,,469835842.0,,,,
2008,1,,863575077.0,,,,
2008,2,,805618770.0,,,,
2008,3,,821957233.0,,,,
2008,4,,844357513.0,,,,
2008,5,,827713709.0,,,,
2008,6,,825055354.0,,,,
2008,7,,780369890.0,,,,
2008,8,,804302071.0,,,,
2008,9,,817672904.0,,,,
2008,10,,855432765.0,,,,
2008,11,,1007854264.0,,,,
2008,12,,1482076522.0,,,,
2009,1,,1313287179.0,,,,
2009,2,,916254643.0,,,,
2009,3,,1010935249.0,,,,
2009,4,,816911070.0,,,,
2009,5,,900827289.0,,,,
2009,6,,908943732.0,,,,
2009,7,,846000568.0,,,,
2009,8,,839851733.0,,,,
2009,9,,602992497.0,,,,
2009,10,,880828772.0,,,,
2009,11,,892473405.0,,,,
2009,12,,783921314.0,,,,
2010,1,,888038285.0,,,,
2010,2,,823448165.0,,,,
2010,3,,836322180.0,,,,
2010,4,,771419721.0,,,,
2010,5,,778512486.0,,,,
2010,6,,596213096.0,,,,
2010,7,,631180879.0,,,,
2010,8,,952332186.0,,,,
2010,9,,1040867552.0,,,,
2010,10,,1627809061.0,,,,
2010,11,,995628729.0,,,,
2010,12,,968407157.0,,,,
2011,1,,1146508998.0,,,,
2011,2,,911219090.0,,,,
2011,3,,1000068078.0,,,,
2011,4,,868707187.0,,,,
2011,5,,1032177894.0,,,,
2011,6,,963032634.0,,,,
2011,7,,950102155.0,,,,
2011,8,,895803744.0,,,,
2011,9,,763290597.0,,,,
2011,10,,937347272.0,,,,
2011,11,,1017247857.0,,,,
2011,12,,879453223.0,,,,
2012,1,,1143793098.0,,,,
2012,2,,1027600446.0,,,,
2012,3,,1007788513.0,,,,
2012,4,,946861623.0,,,,
2012,5,,1008782690.0,,,,
2012,6,,1004848001.0,,,,
2012,7,,1011811814.0,,,,
2012,8,,957277295.0,,,,
2012,9,,962492935.0,,,,
2012,10,,1060645143.0,,,,
2012,11,,1134705757.0,,,,
2012,12,,1057051641.0,,,,
2013,1,,1220628575.0,,,,
2013,2,,1023280228.0,,,,
2013,3,,1021650672.0,,,,
2013,4,,928205605.0,,,,
2013,5,,943055053.0,,,,
2013,6,,944364286.0,,,,
2013,7,,970770754.0,,,,
2013,8,,1128949669.0,,,,
2013,9,,1148553873.0,,,,
2013,10,,1189152295.0,,,,
2013,11,,1198112011.0,,,,
2013,12,,841118438.0,,,,
2014,1,,974435535.0,,,,
2014,2,,947693748.0,,,,
2014,3,,982222158.0,,,,
2014,4,,895164141.0,,,,
2014,5,,904509427.0,,,,
2014,6,,841901684.0,,,,
2014,7,,879262963.0,,,,
2014,8,,859268987.0,,,,
2014,9,,881982739.0,,,,
2014,10,1192913373.0,848030024.0,344883349.0,,,
2014,11,1158287600.0,804898233.0,353389367.0,,,
2014,12,1190701966.0,788673535.0,402028431.0,,,
2015,1,1318198735.0,886129940.0,432068795.0,,,
2015,2,1129974279.0,762718055.0,367256224.0,,,
2015,3,1243799156.0,850583285.0,393215871.0,,,
2015,4,1179110144.0,791575519.0,387534625.0,,,
2015,5,1174787789.0,767545864.0,407241925.0,,,
2015,6,1101722264.0,724286442.0,377435822.0,,,
2015,7,1042241553.0,683638190.0,358603363.0,978324726.0,600048507.0,28565108.0
2015,8,1028714604.0,653685687.0,375028917.0,968271490.0,578484491.0,29434762.0
2015,9,1054241646.0,681258530.0,372983116.0,973064683.0,589658905.0,26074462.0
2015,10,1110221850.0,716888880.0,393332970.0,1018788554.0,612646879.0,26649549.0
2015,11,1154308029.0,739649354.0,414658675.0,1060273698.0,630300501.0,27428039.0
2015,12,1122719453.0,678535575.0,444183878.0,1043373021.0,581381553.0,29738471.0
2016,1,1282654969.0,787957647.0,494697322.0,1198156337.0,684031276.0,33600760.0
2016,2,1146457287.0,724540330.0,421916957.0,1059595839.0,619266885.0,28165354.0
2016,3,1163306714.0,719295474.0,444011240.0,1069851715.0,607640647.0,30800740.0
2016,4,1116488978.0,703630566.0,412858412.0,1004644645.0,580443508.0,23527758.0
2016,5,1099871640.0,678546194.0,421325446.0,996600182.0,554424314.0,29860336.0
2016,6,1104506791.0,690217919.0,414288872.0,996441290.0,563906831.0,28966081.0
2016,7,1059103658.0,655650198.0,403453460.0,941186466.0,519604444.0,28891742.0
2016,8,,,,951902121.0,528579699.0,27123370.0
2016,9,,,,930500187.0,523161581.0,23812504.0
2016,10,,,,997282498.0,551339470.0,23093830.0
2016,11,,,,1045495394.0,596964395.0,24946205.0
2016,12,,,,1009891476.0,526706129.0,45802723.0
2017,1,,,,1209491244.0,633188007.0,96373084.0
2017,2,,,,1042648873.0,548787263.0,91401876.0
2017,3,,,,1069338632.0,573006489.0,81574642.0
2017,4,,,,934865255.0,489196091.0,36002479.0
2017,5,,,,973264761.0,539252926.0,34808419.0
2017,6,,,,900712446.0,487329424.0,33809656.0
2017,7,,,,914261437.0,488452103.0,35821808.0
2017,8,,,,910168727.0,483225571.0,35541363.0
2017,9,,,,900020604.0,479492817.0,33636787.0
2017,10,,,,967825245.0,511252303.0,36910504.0
2017,11,,,,951884898.0,512926943.0,34693513.0
2017,12,,,,928160985.0,463241916.0,37951465.0
2018,1,,,,1054641356.0,550078771.0,40314575.0
2018,2,,,,912358163.0,478531830.0,34724828.0
2018,3,,,,982983716.0,508336606.0,37678792.0
2018,4,,,,887583392.0,448091633.0,34664577.0
2018,5,,,,926023167.0,453673396.0,38640075.0
2018,6,,,,896253503.0,445930468.0,36236971.0
2018,7,,,,905692249.0,440770197.0,39168192.0
2018,8,,,,904402549.0,448198808.0,38607184.0
2018,9,,,,865049445.0,418754119.0,35603300.0
