state,total,amount_all_beneficiaries,per_state
Alabama,1120185.0,1341273.0,0.835165547953325
Alaska,95195.0,113620.0,0.8378366484773807
American Samoa,6175.0,4337.0,1.4237952501729305
Arizona,1273995.0,1642808.0,0.7754984149091069
Arkansas,685155.0,795592.0,0.8611889008436485
California,5753530.0,7125415.0,0.8074659511060057
Colorado,830345.0,1052374.0,0.7890208233954848
Connecticut,664485.0,922549.0,0.7202706848091538
Delaware,201710.0,274894.0,0.7337737455164536
District of Columbia,81070.0,95226.0,0.8513431205763132
Florida,4430625.0,5583750.0,0.7934855607790463
Georgia,1750575.0,2146923.0,0.8153878830307375
Guam,17115.0,14221.0,1.2035018634413894
Hawaii,261450.0,331426.0,0.7888638791163035
Idaho,325075.0,398398.0,0.8159554013825371
Illinois,2195580.0,2823290.0,0.7776671896971264
Indiana,1317665.0,1705967.0,0.7723859840196206
Iowa,629720.0,795495.0,0.7916077410920245
Kansas,535475.0,689556.0,0.7765504179501013
Kentucky,971915.0,1131878.0,0.8586746981565151
Louisiana,881860.0,1001622.0,0.8804319393943024
Maine,334175.0,389729.0,0.8574547955117531
Maryland,966250.0,1280961.0,0.7543164858258761
Massachusetts,1246600.0,1590607.0,0.7837259612210936
Michigan,2161750.0,2850281.0,0.7584339929992867
Minnesota,994565.0,1296698.0,0.7669981753654281
Mississippi,653090.0,748812.0,0.8721681810654743
Missouri,1269005.0,1554528.0,0.8163281716379506
Montana,223200.0,267933.0,0.8330440819160014
Nebraska,335200.0,420658.0,0.7968468447052
Nevada,506175.0,637957.0,0.793431218718503
New Hampshire,294240.0,388185.0,0.7579891031338151
New Jersey,1596795.0,2225292.0,0.7175665036318829
New Mexico,416355.0,485260.0,0.8580039566418003
New York,3546115.0,4598366.0,0.7711684976793931
North Carolina,2020040.0,2530710.0,0.798210778793303
North Dakota,127790.0,153898.0,0.8303551703076063
Northern Mariana Islands,2875.0,1850.0,1.554054054054054
Ohio,2311430.0,2839234.0,0.8141033814049846
Oklahoma,768685.0,925583.0,0.8304873793057997
Oregon,835970.0,1063026.0,0.7864059768999065
Pennsylvania,2768345.0,3581164.0,0.7730293837422693
Puerto Rico,841020.0,708181.0,1.1875777520153745
Rhode Island,220365.0,279140.0,0.7894425736189725
South Carolina,1089450.0,1371908.0,0.7941130163247099
South Dakota,171405.0,205497.0,0.8340997678798231
Tennessee,1411870.0,1726323.0,0.8178481083783278
Texas,4023570.0,4853925.0,0.8289312257605959
U.S. Virgin Islands,21955.0,24331.0,0.9023468003781184
Utah,385795.0,489223.0,0.7885872086962388
Vermont,144805.0,181050.0,0.7998066832366749
Virginia,1470715.0,1885187.0,0.7801427656778877
Washington,1290895.0,1695925.0,0.7611745802438198
West Virginia,469780.0,564762.0,0.8318194212783439
Wisconsin,1189210.0,1538742.0,0.7728456102452523
Wyoming,106570.0,136882.0,0.778553790856358
